1	 an	 an	 DET	 DT	 _	 2	 det
2	 evaluation	 evaluation	 NOUN	 NN	 _	 0	 ROOT
3	 of	 of	 ADP	 IN	 _	 2	 prep
4	 selective	 selective	 ADJ	 JJ	 _	 5	 amod
5	 broths	 broth	 NOUN	 NNS	 _	 3	 pobj
6	 based	 base	 VERB	 VBN	 _	 5	 acl
7	 on	 on	 ADP	 IN	 _	 6	 prep
8	 the	 the	 DET	 DT	 _	 12	 det
9	 bi	 bi	 PROPN	 NNP	 _	 11	 compound
10	 -	 -	 PUNCT	 HYPH	 _	 11	 punct
11	 selenite	 selenite	 NOUN	 NN	 _	 12	 compound
12	 ion	 ion	 NOUN	 NN	 _	 7	 pobj
13	 and	 and	 CCONJ	 CC	 _	 7	 cc
14	 on	 on	 ADP	 IN	 _	 7	 conj
15	 hypertonic	 hypertonic	 ADJ	 JJ	 _	 17	 amod
16	 strontium	 strontium	 NOUN	 NN	 _	 17	 compound
17	 chloride	 chloride	 NOUN	 NN	 _	 14	 pobj
18	 in	 in	 ADP	 IN	 _	 17	 prep
19	 salmonellae	 salmonellae	 ADJ	 JJ	 _	 20	 amod
20	 detection	 detection	 NOUN	 NN	 _	 18	 pobj
21	 in	 in	 ADP	 IN	 _	 20	 prep
22	 egg	 egg	 NOUN	 NN	 _	 23	 compound
23	 products	 product	 NOUN	 NNS	 _	 21	 pobj
24	 .	 .	 PUNCT	 .	 _	 2	 punct

1	 of	 of	 ADP	 IN	 _	 0	 ROOT
2	 the	 the	 DET	 DT	 _	 4	 det
3	 104	 104	 NUM	 CD	 _	 4	 nummod
4	 isolations	 isolation	 NOUN	 NNS	 _	 1	 pobj
5	 of	 of	 ADP	 IN	 _	 4	 prep
6	 salmonella	 salmonella	 NOUN	 NN	 _	 7	 compound
7	 sp	 sp	 NOUN	 NN	 _	 5	 pobj
8	 .	 .	 PUNCT	 .	 _	 1	 punct

1	 from	 from	 ADP	 IN	 _	 7	 prep
2	 egg	 egg	 NOUN	 NN	 _	 3	 compound
3	 pulp	 pulp	 NOUN	 NN	 _	 1	 pobj
4	 ,	 ,	 PUNCT	 ,	 _	 3	 punct
5	 97	 97	 NUM	 CD	 _	 7	 nsubjpass
6	 were	 be	 VERB	 VBD	 _	 7	 auxpass
7	 obtained	 obtain	 VERB	 VBN	 _	 0	 ROOT
8	 from	 from	 ADP	 IN	 _	 7	 prep
9	 strontium	 strontium	 NOUN	 NN	 _	 10	 compound
10	 chloride	 chloride	 NOUN	 NN	 _	 12	 compound
11	 m	 m	 NOUN	 NN	 _	 12	 compound
12	 broth	 broth	 NOUN	 NN	 _	 8	 pobj
13	 ,	 ,	 PUNCT	 ,	 _	 12	 punct
